,annealing_schedule,archive_minimum_acceptable_dissimilarity,average_runtime,best_performance,bound_enforcing_method,cholesky_path_length,maximum_archive_length,maximum_function_evaluations,maximum_markov_chain_length,mean_performance,objective_function,pertubation_method,raw_results,std_perormance,step_size_initialisation_fraction_of_range,x_bounds,x_length
20,simple_exponential_cooling,0.2,0.9746874650319417,-500.73586893905326,not_clipping,5.0,100.0,10000.0,11.0,-488.198431127344,<function rana_func at 0x0000020494B001F0>,simple,"[-498.05775793 -494.140557   -484.58891486 -496.42421863 -481.73406667
 -496.5079416  -496.01035201 -500.73586894 -499.74114168 -454.27889938
 -500.32776535 -463.77141357 -456.72215888 -484.43087366 -498.70292561
 -451.30945918 -481.45437116 -499.83123603 -494.80884786 -499.63689736
 -497.45515256 -500.11974869 -499.98024864 -499.66953816 -441.93748355
 -498.65927027 -499.57989551 -495.94940238 -480.43733046 -498.94919623]",16.846752981871763,0.1,"(-500, 500)",2.0
21,simple_exponential_cooling,0.2,2.694282078742981,-1635.028174267587,not_clipping,5.0,100.0,10000.0,16.0,-1329.3554094513966,<function rana_func at 0x0000020494B001F0>,Cholesky,"[-1435.02581339 -1329.24231892 -1404.72224912 -1329.8654842
 -1447.91932654 -1290.96397289 -1149.3839224  -1256.13135588
 -1494.32029095 -1452.27274192 -1200.25731464 -1248.70252734
 -1046.71115963 -1380.51947135 -1374.34883068 -1144.60884948
 -1228.01232844 -1180.80457661 -1208.66951885 -1635.02817427
 -1429.82645813 -1429.31929823 -1181.23956756 -1249.07052534
 -1312.95033591 -1433.39275462 -1211.5529157  -1534.17243519
 -1495.80525894 -1365.82250643]",134.04596221347032,0.01,"(-500, 500)",5.0
22,simple_exponential_cooling,0.2,1.6529800812403361,-1876.005594580438,not_clipping,5.0,100.0,10000.0,16.0,-1477.8259038235494,<function rana_func at 0x0000020494B001F0>,Diagonal,"[-1482.68282133 -1015.32238576 -1726.61916879 -1876.00559458
 -1100.76256657 -1608.87275533 -1781.76528146 -1828.43849231
 -1520.68819274 -1305.1813099  -1414.30264615 -1552.44961665
 -1329.97654043 -1425.46461978 -1573.26150499  -890.49102196
 -1515.52681232 -1338.39201206 -1476.10254451 -1689.8424619
 -1292.54631907  -889.63030996 -1430.22150242 -1498.78907241
 -1544.99745548 -1675.38768997 -1578.52876859 -1801.66144322
 -1545.13884182 -1625.72736224]",249.1813032293266,0.1,"(-500, 500)",5.0
23,simple_exponential_cooling,0.2,0.9896882375081381,-500.39318122627947,not_clipping,5.0,100.0,10000.0,16.0,-485.0769999671327,<function rana_func at 0x0000020494B001F0>,simple,"[-480.91937392 -499.43349294 -491.57882022 -481.73379654 -495.9932684
 -465.81436711 -500.39318123 -499.44365764 -485.94630676 -447.84577551
 -496.33263323 -468.18351652 -490.79292079 -452.77712703 -480.54618078
 -498.39706052 -482.11196421 -498.87098589 -487.75446343 -456.39614053
 -499.45092891 -481.31596183 -461.21715394 -478.47221499 -498.9086895
 -481.30105951 -498.92093239 -492.47743543 -499.76111325 -499.21947605]",15.28733036206384,0.1,"(-500, 500)",2.0
24,simple_exponential_cooling,0.2,2.7497960964838666,-1799.3186041525946,not_clipping,5.0,100.0,10000.0,24.0,-1434.7033751533968,<function rana_func at 0x0000020494B001F0>,Cholesky,"[-1420.08963103 -1272.21313478  -990.55640569 -1229.16850567
 -1356.26900319 -1245.65528731 -1799.31860415 -1616.59112063
 -1471.63468269 -1462.304168   -1248.99785589 -1534.76096805
 -1444.1137589  -1678.44699801 -1309.37929756 -1604.75064075
 -1715.07107001 -1354.26845188 -1403.69276187 -1599.75028078
 -1665.51756242 -1635.24022509 -1382.97519863 -1360.70088503
 -1383.94936062 -1324.39710893 -1228.10453672 -1435.8526903
 -1272.48651768 -1594.84454234]",177.86694363967845,0.01,"(-500, 500)",5.0
25,simple_exponential_cooling,0.2,1.7115617275238038,-1883.2381945235659,not_clipping,5.0,100.0,10000.0,24.0,-1445.5103397930375,<function rana_func at 0x0000020494B001F0>,Diagonal,"[-1403.98312592 -1099.21217235 -1275.75159095 -1653.097798
 -1225.22842901 -1817.33140073 -1883.23819452 -1516.40467267
 -1805.3687926  -1826.65394662 -1337.7359358  -1563.77333161
 -1437.81942702 -1738.71240602 -1481.54947106 -1336.10608669
 -1012.17430498 -1098.32478826 -1441.78316712 -1612.84213564
 -1154.86738671 -1173.15966307 -1358.00587987 -1498.78907241
 -1544.99427837 -1599.49055469 -1098.93555024 -1522.03097837
 -1467.61438472 -1380.33126779]",234.26608200755436,0.1,"(-500, 500)",5.0
26,simple_exponential_cooling,0.2,1.0358988523483277,-500.76814463666955,not_clipping,5.0,100.0,10000.0,24.0,-493.73947511016615,<function rana_func at 0x0000020494B001F0>,simple,"[-500.76814464 -490.34232411 -498.72504582 -499.14709805 -481.68076323
 -495.72265212 -488.64518974 -498.98698576 -481.12963685 -494.847465
 -495.26723342 -497.70237855 -497.95471408 -499.06576418 -476.83321253
 -499.66171155 -480.59903192 -480.48689364 -494.91588188 -498.56309846
 -497.69002081 -481.31596183 -495.63833569 -497.37310778 -499.66477502
 -497.83080072 -497.76832085 -498.12925583 -498.1004219  -497.62802735]",7.174916383829519,0.1,"(-500, 500)",2.0
27,simple_exponential_cooling,0.2,2.885208590825399,-1769.854327140233,not_clipping,5.0,100.0,10000.0,36.0,-1412.0990930165024,<function rana_func at 0x0000020494B001F0>,Cholesky,"[-1282.89174576 -1180.8728901  -1455.85012953 -1416.45100248
 -1216.18320551 -1587.72220018 -1254.87722519 -1562.03187821
 -1321.82475586 -1445.91020334 -1471.90554881 -1460.96973681
 -1515.86037717 -1408.74036036 -1158.91262656 -1517.49930613
 -1275.28733729 -1612.53205487 -1454.62090841 -1595.66429198
 -1769.85432714 -1445.71011099 -1208.54017643 -1347.69690071
 -1534.39493761 -1479.66669157 -1295.76068571 -1381.94506206
 -1223.41479737 -1479.38131637]",145.25357536294234,0.01,"(-500, 500)",5.0
28,simple_exponential_cooling,0.2,1.8329660256703695,-1791.8324035195947,not_clipping,5.0,100.0,10000.0,36.0,-1413.8390522487607,<function rana_func at 0x0000020494B001F0>,Diagonal,"[-1478.85532246 -1030.29604539 -1588.55552781 -1068.98630109
 -1791.83240352 -1431.36420713 -1593.54342959 -1182.05595285
 -1520.85248619 -1019.69121066 -1479.37530148 -1220.54584047
 -1442.80479869 -1192.68626907 -1110.90781385 -1340.63967159
 -1459.63473099 -1239.84236932 -1520.35829093 -1618.00853059
 -1621.97693474 -1390.2532106  -1703.76498756 -1498.78907241
 -1482.13184696 -1590.97123512 -1344.01965931 -1524.36313212
 -1573.92091648 -1354.14406849]",199.0137412142268,0.1,"(-500, 500)",5.0
29,simple_exponential_cooling,0.2,1.1165027618408203,-500.32180555754053,not_clipping,5.0,100.0,10000.0,36.0,-494.20313257316883,<function rana_func at 0x0000020494B001F0>,simple,"[-495.54676374 -460.73969401 -497.97773238 -498.71841751 -497.5204152
 -485.30758436 -494.19572363 -496.58323281 -497.14435892 -499.86221798
 -497.30474269 -493.8709181  -496.64770773 -496.73790201 -498.59433887
 -488.91863678 -499.60023665 -492.47666648 -496.55116285 -496.10105619
 -496.85077638 -498.64098973 -495.89458567 -499.71392686 -494.57223366
 -473.60422713 -496.19939781 -493.19719053 -500.32180556 -496.69933495]",8.033959390801192,0.1,"(-500, 500)",2.0
